x_gyro,y_gyro,z_gyro,time
0.16642761,-0.18948364,-0.103515625,1508223932830
0.21650696,-0.0957489,-0.19406128,1508223932840
0.16856384,0.1471405,-0.24305725,1508223932856
0.09931946,0.25473022,-0.3240204,1508223932868
-0.059402466,0.26963806,-0.4699707,1508223932878
-0.19256592,0.2291565,-0.5253601,1508223932893
-0.25328064,0.2259674,-0.51789856,1508223932904
-0.26286316,0.20678711,-0.4465332,1508223932914
-0.22238159,0.17056274,-0.33894348,1508223932929
-0.14143372,0.116241455,-0.24305725,1508223932939
-0.06047058,0.045928955,-0.17062378,1508223932955
0.014099121,-9.460449E-4,-0.10990906,1508223932965
0.06523132,-0.036087036,-0.08647156,1508223932975
0.08760071,-0.053131104,-0.09498596,1508223932992
0.07481384,-0.080825806,-0.13227844,1508223933008
0.048187256,-0.08721924,-0.15357971,1508223933018
0.053512573,-0.055267334,-0.13227844,1508223933039
0.05458069,-0.052078247,-0.124816895,1508223933050
0.0045166016,-0.004135132,-0.103515625,1508223933067
-0.0072021484,0.0725708,-0.070495605,1508223933083
0.0077056885,0.114105225,0.006210327,1508223933099
0.027954102,0.06404114,0.09249878,1508223933120
0.03967285,-0.0723114,0.12019348,1508223933136
0.046051025,-0.10533142,0.09889221,1508223933158
0.16749573,0.2952118,0.21713257,1508223933169
0.2782898,0.58496094,0.3715973,1508223933185
0.34432983,0.73835754,0.4557495,1508223933196
0.35179138,0.6819,0.32365417,1508223933212
0.3347473,0.41984558,0.1063385,1508223933228
0.3251648,0.050201416,-0.09391785,1508223933244
0.27401733,-0.35780334,-0.21749878,1508223933265
0.1802826,-0.5229187,-0.22068787,1508223933276
0.03967285,-0.6901703,-0.24838257,1508223933297
-0.23730469,-0.76686096,-0.44332886,1508223933318
-0.31399536,-0.19482422,-0.39112854,1508223933350
-0.1361084,1.2207031E-4,-0.23880005,1508223933367
0.016235352,-0.052078247,-0.16955566,1508223933383
0.11103821,-0.010528564,-0.19831848,1508223933398
0.15258789,0.07469177,-0.28567505,1508223933414
0.17495728,0.3090515,-0.3794098,1508223933430
0.23355103,0.46565247,-0.36236572,1508223933446
0.23460388,0.52104187,-0.21536255,1508223933456
0.08013916,0.16630554,-0.091796875,1508223933477
-0.24156189,-0.22570801,-0.05770874,1508223933493
-0.45355225,-0.18415833,-0.039596558,1508223933504
-0.55900574,-0.059524536,0.129776,1508223933514
-0.50149536,-0.1703186,0.2980957,1508223933531
-0.27990723,-0.31625366,0.32792664,1508223933553
0.62768555,-0.2949524,0.32792664,1508223933569
1.0868225,-0.10107422,0.305542,1508223933580
1.0719147,0.16311646,-0.012969971,1508223933595
0.75019836,0.0022583008,-0.08433533,1508223933612
0.37095642,0.7032013,-0.053451538,1508223933634
-0.014663696,0.6115875,-0.13653564,1508223933661
-0.32998657,0.44328308,-0.28460693,1508223933677
-0.55049133,0.35272217,-0.38900757,1508223933693
-0.58032227,0.48908997,-0.40924072,1508223933708
