x_inc,y_inc,time
333.0,1.0,1508223932830
333.0,359.0,1508223932845
331.0,358.0,1508223932856
330.0,357.0,1508223932868
330.0,359.0,1508223932878
330.0,3.0,1508223932893
330.0,6.0,1508223932904
331.0,10.0,1508223932914
332.0,11.0,1508223932929
332.0,12.0,1508223932939
332.0,12.0,1508223932955
332.0,10.0,1508223932965
331.0,9.0,1508223932975
331.0,7.0,1508223932992
330.0,5.0,1508223933008
330.0,5.0,1508223933018
330.0,6.0,1508223933039
330.0,6.0,1508223933050
330.0,6.0,1508223933072
332.0,8.0,1508223933083
331.0,9.0,1508223933099
331.0,9.0,1508223933120
330.0,7.0,1508223933136
331.0,7.0,1508223933158
332.0,10.0,1508223933169
331.0,9.0,1508223933185
330.0,5.0,1508223933196
329.0,2.0,1508223933212
331.0,2.0,1508223933228
331.0,4.0,1508223933249
330.0,7.0,1508223933265
330.0,7.0,1508223933276
325.0,4.0,1508223933297
329.0,5.0,1508223933318
333.0,4.0,1508223933350
331.0,4.0,1508223933367
333.0,5.0,1508223933383
331.0,3.0,1508223933398
330.0,2.0,1508223933414
329.0,4.0,1508223933430
328.0,9.0,1508223933446
328.0,13.0,1508223933456
329.0,14.0,1508223933477
326.0,14.0,1508223933493
328.0,12.0,1508223933504
327.0,12.0,1508223933519
330.0,10.0,1508223933531
332.0,7.0,1508223933553
334.0,8.0,1508223933569
332.0,2.0,1508223933580
332.0,349.0,1508223933601
334.0,11.0,1508223933612
316.0,13.0,1508223933634
320.0,8.0,1508223933661
323.0,8.0,1508223933677
325.0,8.0,1508223933693
331.0,9.0,1508223933708
330.0,14.0,1508223933719
328.0,16.0,1508223933740
328.0,16.0,1508223933751
329.0,13.0,1508223933772
327.0,11.0,1508223933784
329.0,13.0,1508223933799
330.0,15.0,1508223933816
330.0,19.0,1508223933826
329.0,21.0,1508223933837
329.0,21.0,1508223933853
328.0,15.0,1508223933869
328.0,17.0,1508223933885
327.0,15.0,1508223933901
326.0,11.0,1508223933917
323.0,9.0,1508223933933
319.0,11.0,1508223933949
319.0,13.0,1508223933967
328.0,17.0,1508223933983
329.0,15.0,1508223933993
329.0,12.0,1508223934009
331.0,10.0,1508223934020
330.0,12.0,1508223934041
326.0,353.0,1508223934057
326.0,353.0,1508223934070
332.0,359.0,1508223934086
332.0,359.0,1508223934097
333.0,353.0,1508223934120
331.0,352.0,1508223934135
333.0,354.0,1508223934151
333.0,354.0,1508223934162
325.0,350.0,1508223934179
331.0,354.0,1508223934195
339.0,358.0,1508223934206
339.0,355.0,1508223934221
334.0,349.0,1508223934237
330.0,349.0,1508223934253
335.0,357.0,1508223934275
311.0,315.0,1508223934291
305.0,329.0,1508223934306
330.0,357.0,1508223934317
338.0,6.0,1508223934338
345.0,9.0,1508223934354
345.0,12.0,1508223934375
345.0,5.0,1508223934396
343.0,7.0,1508223934406
338.0,12.0,1508223934422
335.0,17.0,1508223934443
339.0,19.0,1508223934464
345.0,24.0,1508223934474
346.0,26.0,1508223934490
341.0,27.0,1508223934506
332.0,26.0,1508223934522
323.0,24.0,1508223934537
320.0,22.0,1508223934553
320.0,22.0,1508223934571
329.0,22.0,1508223934586
333.0,21.0,1508223934602
330.0,18.0,1508223934612
333.0,11.0,1508223934628
339.0,9.0,1508223934639
342.0,9.0,1508223934659
341.0,10.0,1508223934678
338.0,10.0,1508223934697
338.0,12.0,1508223934713
333.0,14.0,1508223934724
323.0,9.0,1508223934746
328.0,15.0,1508223934768
342.0,14.0,1508223934778
341.0,15.0,1508223934799
332.0,16.0,1508223934814
321.0,16.0,1508223934831
312.0,17.0,1508223934847
314.0,20.0,1508223934868
321.0,19.0,1508223934878
327.0,17.0,1508223934894
329.0,8.0,1508223934927
329.0,4.0,1508223934943
332.0,4.0,1508223934959
336.0,11.0,1508223934975
338.0,14.0,1508223934992
344.0,11.0,1508223935008
344.0,8.0,1508223935024
341.0,7.0,1508223935034
342.0,13.0,1508223935050
334.0,14.0,1508223935077
332.0,11.0,1508223935099
332.0,11.0,1508223935115
335.0,11.0,1508223935125
333.0,7.0,1508223935141
332.0,2.0,1508223935162
336.0,3.0,1508223935177
335.0,7.0,1508223935188
336.0,7.0,1508223935204
336.0,5.0,1508223935221
326.0,0.0,1508223935237
322.0,357.0,1508223935254
324.0,1.0,1508223935269
328.0,4.0,1508223935280
332.0,7.0,1508223935296
335.0,9.0,1508223935312
330.0,1.0,1508223935328
326.0,351.0,1508223935344
324.0,350.0,1508223935362
322.0,355.0,1508223935379
319.0,358.0,1508223935395
320.0,357.0,1508223935410
329.0,351.0,1508223935426
331.0,352.0,1508223935448
327.0,1.0,1508223935467
323.0,4.0,1508223935479
322.0,7.0,1508223935490
323.0,9.0,1508223935506
323.0,10.0,1508223935522
324.0,14.0,1508223935543
328.0,18.0,1508223935554
334.0,18.0,1508223935572
337.0,19.0,1508223935588
338.0,24.0,1508223935604
339.0,31.0,1508223935619
343.0,28.0,1508223935641
343.0,26.0,1508223935656
341.0,25.0,1508223935662
330.0,16.0,1508223935683
326.0,11.0,1508223935694
322.0,8.0,1508223935709
317.0,355.0,1508223935725
323.0,338.0,1508223935736
330.0,339.0,1508223935752
322.0,350.0,1508223935768
320.0,6.0,1508223935784
312.0,74.0,1508223935805
358.0,352.0,1508223935821
318.0,338.0,1508223935843
326.0,337.0,1508223935853
309.0,327.0,1508223935866
336.0,349.0,1508223935876
345.0,347.0,1508223935892
332.0,345.0,1508223935908
340.0,354.0,1508223935930
338.0,345.0,1508223935946
338.0,348.0,1508223935979
339.0,333.0,1508223936000
351.0,237.0,1508223936011
357.0,342.0,1508223936027
354.0,344.0,1508223936043
354.0,351.0,1508223936054
354.0,351.0,1508223936066
346.0,355.0,1508223936082
350.0,354.0,1508223936093
356.0,354.0,1508223936109
356.0,357.0,1508223936120
350.0,3.0,1508223936146
348.0,5.0,1508223936162
345.0,9.0,1508223936178
341.0,13.0,1508223936193
342.0,13.0,1508223936209
340.0,14.0,1508223936225
339.0,13.0,1508223936241
338.0,9.0,1508223936252
336.0,5.0,1508223936274
346.0,359.0,1508223936294
344.0,355.0,1508223936310
343.0,4.0,1508223936320
340.0,9.0,1508223936336
342.0,6.0,1508223936352
342.0,6.0,1508223936368
342.0,9.0,1508223936384
350.0,10.0,1508223936399
352.0,18.0,1508223936415
9.0,17.0,1508223936431
1.0,13.0,1508223936452
356.0,11.0,1508223936462
357.0,14.0,1508223936479
356.0,11.0,1508223936489
354.0,9.0,1508223936506
354.0,7.0,1508223936522
351.0,4.0,1508223936538
341.0,0.0,1508223936554
359.0,10.0,1508223936572
359.0,13.0,1508223936597
346.0,10.0,1508223936607
344.0,10.0,1508223936623
340.0,14.0,1508223936639
340.0,21.0,1508223936662
333.0,24.0,1508223936674
332.0,19.0,1508223936686
327.0,18.0,1508223936702
315.0,358.0,1508223936723
320.0,355.0,1508223936735
326.0,3.0,1508223936762
327.0,8.0,1508223936778
330.0,7.0,1508223936788
339.0,7.0,1508223936804
334.0,7.0,1508223936820
339.0,10.0,1508223936836
340.0,11.0,1508223936851
343.0,10.0,1508223936867
342.0,5.0,1508223936884
343.0,355.0,1508223936905
343.0,352.0,1508223936921
344.0,351.0,1508223936937
343.0,354.0,1508223936953
344.0,359.0,1508223936970
342.0,2.0,1508223936996
341.0,2.0,1508223937012
339.0,2.0,1508223937033
337.0,3.0,1508223937049
335.0,4.0,1508223937065
335.0,4.0,1508223937070
332.0,6.0,1508223937094
333.0,7.0,1508223937109
333.0,8.0,1508223937125
333.0,6.0,1508223937141
332.0,3.0,1508223937157
332.0,2.0,1508223937179
332.0,3.0,1508223937195
333.0,6.0,1508223937216
334.0,8.0,1508223937232
334.0,10.0,1508223937242
334.0,11.0,1508223937258
334.0,11.0,1508223937275
334.0,10.0,1508223937292
333.0,7.0,1508223937307
333.0,7.0,1508223937323
334.0,7.0,1508223937351
334.0,6.0,1508223937361
334.0,6.0,1508223937377
333.0,7.0,1508223937394
332.0,7.0,1508223937410
333.0,7.0,1508223937426
333.0,7.0,1508223937447
333.0,7.0,1508223937463
334.0,7.0,1508223937484
334.0,8.0,1508223937506
333.0,8.0,1508223937527
335.0,7.0,1508223937538
333.0,6.0,1508223937553
333.0,7.0,1508223937564
331.0,9.0,1508223937579
330.0,10.0,1508223937590
330.0,12.0,1508223937605
330.0,12.0,1508223937621
330.0,12.0,1508223937637
334.0,12.0,1508223937658
333.0,12.0,1508223937668
333.0,13.0,1508223937683
333.0,13.0,1508223937694
