bPressT,bPage,bTime,aPage,aTime
1508223937652,0,0,1,1508223937673
1508223938797,1,0,2,1508223938872
1508223939939,2,0,3,1508223939982
1508223941117,3,1508223941177,4,1508223941782
1508223942841,4,1508223942889,5,1508223944091
1508223944886,5,1508223945004,6,1508223946736
1508223947504,6,1508223947542,7,1508223948739
1508223949881,7,1508223949953,8,1508223950562
1508223956937,8,1508223949953,9,1508223956968
1508223959156,9,1508223949953,10,1508223959177
1508223964527,10,1508223949953,11,1508223964606
1508223971124,11,1508223949953,12,1508223971207
1508223974481,12,1508223949953,13,1508223974535
1508223976962,13,1508223949953,14,1508223977035
1508223985643,14,1508223949953,15,1508223985671
1508223991055,15,1508223949953,16,1508223991108
1508223995913,16,1508223949953,17,1508223995993
1508223999873,17,1508223949953,18,1508223999916
1508224001773,18,1508223949953,19,1508224001810
1508224004940,19,1508223949953,20,1508224005014
1508224009006,20,1508223949953,21,1508224009043
1508224013569,21,1508223949953,22,1508224013658
1508224017231,22,1508223949953,23,1508224017268
1508224019406,23,1508223949953,24,1508224019461
1508224021327,24,1508223949953,25,1508224021395
1508224023098,25,1508223949953,26,1508224023172
1508224025167,26,1508223949953,27,1508224025203
1508224026736,27,1508223949953,28,1508224026794
1508224028700,28,1508223949953,29,1508224028788
1508224030824,29,1508223949953,30,1508224030896
1508224032406,30,1508223949953,31,1508224032494
1508224033711,31,1508223949953,32,1508224033807
1508224035838,32,1508223949953,33,1508224035918
1508224037023,33,1508223949953,34,1508224037116
1508224038294,34,1508223949953,35,1508224038330
1508224041688,35,1508223949953,36,1508224041738
1508224043063,36,1508223949953,37,1508224043137
1508224044983,37,1508223949953,38,1508224045043
1508224047244,38,1508223949953,39,1508224047280
1508224050999,39,1508223949953,40,1508224051059
1508224053335,40,1508223949953,41,1508224053355
1508224055022,41,1508223949953,42,1508224055084
1508224056889,42,1508223949953,43,1508224056978
1508224060775,43,1508223949953,44,1508224060806
1508224062162,44,1508223949953,45,1508224062210
1508224063638,45,1508223949953,46,1508224063690
1508224065948,46,1508223949953,47,1508224066015
1508224067123,47,1508223949953,48,1508224067219
1508224069090,48,1508223949953,49,1508224069126
1508224070653,49,1508223949953,50,1508224070721
1508224072581,50,1508223949953,51,1508224072633
1508224074013,51,1508223949953,52,1508224074060
1508224076894,52,1508223949953,53,1508224076956
1508224079676,53,1508223949953,54,1508224079775
1508224083529,54,1508223949953,53,1508224083571
1508224084511,53,1508223949953,52,1508224084567
1508224089104,52,1508223949953,53,1508224089171
1508224090440,53,1508223949953,54,1508224090492
1508224092316,54,1508224092378,55,1508224093894
1508224095011,55,1508224095090,56,1508224098030
1508224101085,56,1508224101132,57,1508224105628
1508224107393,57,1508224107457,58,1508224110450
1508224111352,58,1508224111447,59,1508224112860
1508224113858,59,1508224111447,60,1508224113959
1508224115358,60,1508224111447,61,1508224115451
1508224116357,61,1508224111447,62,1508224116466
1508224117354,62,1508224111447,63,1508224117376
1508224118298,63,1508224111447,64,1508224118362
1508224119463,64,1508224111447,65,1508224119495
1508224127124,65,1508224111447,66,1508224127193
1508224131785,66,1508224111447,67,1508224131828
1508224133854,67,1508224111447,68,1508224133924
1508224135978,68,1508224111447,69,1508224136064
1508224140560,69,1508224111447,70,1508224140639
1508224142053,70,1508224111447,71,1508224142166
